id,county,region,site_name,fieldwork_type,organisation,x_ref_map,y_ref_map,MajorSite,MinorSite,NonDomesticStructure,HEREvent,HERID,HERMonument,HERSource,SiteCode,OASIS
"1035","Essex","South","Great Wakering","Excavation","Essex County Council Field Archaeology Unit","595030","187550","Religious ritual and funerary","funerary site|field system","","","","MEX1035854","","",""
"1041","Essex","East","Great Dunmow, Junior School","Excavation","Archaeological Solutions Ltd","562405","221860","Religious ritual and funerary|Nucleated settlement","roadside settlement|funerary site","","","","MEX1034459","","",""
"1045","Essex","East","Harlow","Excavation","West Essex Archaeological Group","546800","212304","Religious ritual and funerary","RC temple","","","","MEX202","","",""
"1062","Essex","East","Bulls Lodge, Boreham","Excavation","Essex County Council Field Archaeology Unit","574674","210707","Rural landscape|Religious ritual and funerary","field system|shrine","","","","MEX1035948","","",""
"1070","Essex","South","Little Shelford, Foulness","Excavation","","598000","190500","Religious ritual and funerary","funerary site","","","","MEX32653","","",""
"1075","Essex","South","20 Yorick Road, West Mersea","Watching brief","Colchester Archaeological Trust","601970","212510","Religious ritual and funerary","funerary site","","","","MEX1037881","SEX65323","",""
"2021","Cambridgeshire","East","Bartlow Park/Hills","Excavation","University of Reading; Oxford Archaeology East","558655","244928","Rural settlement|Religious ritual and funerary","farm|funerary site","bathhouse","ECB1858","","MCB11690","SCB18804","",""
"2041","Cambridgeshire","Central Belt","Stonea Camp","Excavation","British Museum","544744","293083","Rural settlement|Religious ritual and funerary","funerary site|shrine","","","","","","",""
"2043","Cambridgeshire","Central Belt","Watersmeet, Mill Common, Huntingdon","Excavation","Archaeological Solutions Ltd","523959","271360","Rural landscape|Religious ritual and funerary","field system|funerary site","","ECB1872","","MCB16330","SCB19240","",""
"2044","Cambridgeshire","East","Gallows Hill, Swaffham Prior","Excavation","Cambridgeshire Archaeological Field Unit","557800","264300","Religious ritual and funerary","shrine|funerary site","","","","MCB12990","","",""
"2048","Cambridgeshire","Central Belt","Little Paxton Quarry shrine","Excavation","Birimingham Archaeology; Cambridgeshire Archaeological Field Unit","520560","265823","Religious ritual and funerary","shrine","","","","MCB14515","","",""
"2056","Cambridgeshire","Central Belt","Haddenham Roman shrine","Excavation","Cambridge Archaeological Unit","540833","273692","Religious ritual and funerary","shrine","","","","MCB7168","","",""
"2059","Cambridgeshire","Central Belt","Eaton Ford","Excavation","","517100","260500","Religious ritual and funerary","funerary site","","","","MCB672","","",""
"2097","Cambridgeshire","Central Belt","Knobbs Farm, Somersham","Excavation","Cambridge Archaeological Unit","536800","279400","Rural settlement|Religious ritual and funerary","farm|funerary site","storage|well|corndrier","ECB3020|ECB3275","","MCB18011|MCB19933|MCB17463|MCB18009","","SOM09","cambridg3-72964"
"2120","Cambridgeshire","East","Hinxton","Excavation","Oxford Archaeology East","550000","243300","Rural landscape|Religious ritual and funerary","field system|funerary site|shrine","","ECB 3727","","MCB5033","","HINHIH12","oxfordar3-122197"
"3025","Hertfordshire","South","Prior's Wood, Hertford Heath","Excavation","British Museum","535200","211300","Religious ritual and funerary","funerary site","","","","","","",""
"3028","Hertfordshire","Central Belt","40 Queen Street, Hitchin","Excavation","Museum of London Archaeology Service","518644","228897","Religious ritual and funerary","funerary site","","","","MHT11351","","",""
"3031","Hertfordshire","Central Belt","Wood End Lane/Buncefield Lane","Excavation","Hertfordshire Archaeological Trust","508235","207896","Religious ritual and funerary","RC temple|funerary site","bathhouse|storage","","","MHT94","","",""
"3058","Hertfordshire","East","Braughing, A10 Puckeridge By-pass 1972/Wallace Land","Excavation","Pre-Construct Archaeology Ltd","538551","223889","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","","","",""
"3065","Hertfordshire","Central Belt","Welwyn, Grange","Excavation","Hertfordshire County Council","523100","216400","Nucleated settlement|Religious ritual and funerary","funerary site|roadside settlement","","","","MHT9615","","",""
"3073","Hertfordshire","Central Belt","Friars Wash, Redbourn","Evaluation","Wessex Archaeology","510100","214580","Religious ritual and funerary","RC temple","","","","MHT7918","","",""
"3077","Hertfordshire","Central Belt","Cross Farm, Harpenden","Excavation","St Albans and Hertfordshire Architectural and Archaeological Society","514700","212500","Religious ritual and funerary","funerary site","","","","","","",""
"5028","Suffolk","East","Mildenhall","Excavation","British Museum","567344","276777","Religious ritual and funerary","shrine","","","","MSF9199","","",""
"5035","Suffolk","East","Boxford","Excavation","","597450","239490","Religious ritual and funerary","funerary site","","","","","","",""
"5070","Suffolk","East","Barnham","Excavation","Oxford Archaeology East","586628","279120","Religious ritual and funerary","funerary site","","","","","","",""
"6005","Bedfordshire","Central Belt","Biggleswade Water Main Site 1: Moxhill Farm","Excavation","Archaeological Services & Consultancy Ltd","511800","245700","Religious ritual and funerary","funerary site","","","","","","",""
"6009","Bedfordshire","Central Belt","Dunstable, Court Drive","Excavation","AOC Archaeology","501799","222225","Nucleated settlement|Religious ritual and funerary","funerary site|roadside settlement","","","","","","",""
"6020","Bedfordshire","Central Belt","Warren Farm, Deepdale, Sandy","Excavation","Bedfordshire County Archaeological Service","521276","249108","Religious ritual and funerary","funerary site","","","","","","",""
"6022","Bedfordshire","Central Belt","New House Farm, Billington","Excavation","Manshead Archaeological Society","494220","222650","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","","","",""
"6024","Bedfordshire","Central Belt","Dunstable, 24 Friary Fields","Excavation","Hertfordshire Archaeological Trust","501830","221570","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","EBD480","","","","",""
"6026","Bedfordshire","Central Belt","Harlington","Evaluation","Bedfordshire County Archaeological Service","503069","229949","Religious ritual and funerary","funerary site","","","","","","",""
"6029","Bedfordshire","Central Belt","Dunstable, cemetery","Excavation","Manshead Archaeological Society","501821","221573","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","well|kiln","","","","","",""
"6051","Bedfordshire","Central Belt","Sandy, Stratford Road","Evaluation","Bedfordshire County Archaeology Service; Cambridge Archaeological Unit","518180","247930","Nucleated settlement|Religious ritual and funerary","funerary site|roadside settlement","","EBD194|EBD215","11309","","","",""
"6064","Bedfordshire","Central Belt","Salford Quarry","Excavation","Bedfordshire County Archaeology Service","492800","239200","Rural landscape|Religious ritual and funerary","funerary site|agricultural building","","EBD347","","","","",""
"6074","Bedfordshire","Central Belt","Toddington, M1 Junction 12","Excavation","Northamptonshire Archaeology","501880","230160","Religious ritual and funerary","funerary site","","","","","","",""
"7003","East Sussex","South","Elizabeth Avenue, West Blatchington","Evaluation","N/A","528500","107100","Religious ritual and funerary","funerary site","","","","","","",""
"7006","East Sussex","South","Lancing Down","Excavation","Sussex Archaeological Field Unit","517802","106726","Religious ritual and funerary","RC temple|shrine","","","","MWS1217","","",""
"7007","East Sussex","South","Crabtree Lane, North Lancing","Evaluation","Worthing Museum, and Brighton Museum and Art Gallery","518180","104990","Religious ritual and funerary","funerary site","","","","MWS1093","","",""
"7011","East Sussex","South","Victoria Recreation Ground, Portslade","Watching brief","E H Willett","525903","105724","Religious ritual and funerary","funerary site","","","","MES1080","","",""
"3081","Hertfordshire","Central Belt","Welwyn, Welwyn Hall","Excavation","Archaeological Solutions Ltd","523200","216400","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","MHT9615","","",""
"3082","Hertfordshire","East","Aldwick, Barley","Excavation","University of Cambridge","539800","238800","Religious ritual and funerary","shrine","storage","","","","","",""
"3083","Hertfordshire","East","Ashwell, near Baldock","Excavation","British Museum","526021","240354","Religious ritual and funerary","shrine","","","","MHT11726","","",""
"4004","Norfolk","East","Harford Farm, Caistor St Edmund","Excavation","Norfolk Archaeological Unit","622400","304300","Religious ritual and funerary","funerary site|shrine","","","","","","",""
"4005","Norfolk","East","Valley Belt, Trowse","Excavation","Norfolk Archaeological Unit","624700","306100","Religious ritual and funerary|Industry","shrine|iron production","","","","","","",""
"4016","Norfolk","East","Fison Way, Thetford","Excavation","NAU Archaeology","586652","285071","Religious ritual and funerary|Rural settlement","shrine|funerary site|other metal production|farm","","","","","","",""
"4023","Norfolk","East","Caistor St Edmund temple","Excavation","NAU Archaeology","623970","303920","Religious ritual and funerary","RC temple","","","9787","","","",""
"4026","Norfolk","East","Ashill","Excavation","NAU Archaeology","590800","305700","Religious ritual and funerary","shrine","","","","","","",""
"4031","Norfolk","East","Scole, A143 Scole-Stuston Bypass","Excavation","Suffolk County Council; NAU Archaeology","615242","278544","Nucleated settlement|Religious ritual and funerary","field system|shrine|RC temple|funerary site|other metal production|roadside settlement","well","","30650","","","",""
"4067","Norfolk","East","Bawburgh","Excavation","NAU Archaeology","615485","309297","Religious ritual and funerary","funerary site","","","","","","",""
"4068","Norfolk","East","'Oakwood', Stanley Avenue, Norwich","Excavation","NAU Archaeology","625088","308724","Religious ritual and funerary","funerary site","","","","","","",""
"4069","Norfolk","East","Hellesdon","Excavation","NAU Archaeology","620313","311019","Religious ritual and funerary","funerary site","","","","","","",""
"4072","Norfolk","East","Mangreen Hall Farm, Swardeston","Excavation","Archaeological Solutions Ltd","621960","303460","Religious ritual and funerary","funerary site","","","","","","37649","archaeol7-68873"
"4083","Norfolk","East","Crownthorpe, Wicklewood","Excavation","","608820","302870","Religious ritual and funerary|Nucleated settlement","RC temple|roadside settlement","","","8897","","","",""
"4089","Norfolk","East","Sedgeford","Excavation","Sedgeford Historical & Archaelogical Research Project","571103","335655","Rural settlement|Religious ritual and funerary","farm|shrine","storage|corndrier","","","","","",""
"4090","Norfolk","East","Boneyard Reeddam, Sedgeford","Excavation","Sedgeford Historical & Archaelogical Research Project","570973","336385","Religious ritual and funerary","shrine","","","","","","",""
"5004","Suffolk","East","Walk Farm, Levington","Evaluation","Suffolk County Council Archaeological Service","625420","239900","Religious ritual and funerary","funerary site","","","","MSF23447|MSF27342","","TYN 074","suffolkc1-4413"
"5020","Suffolk","East","Hacheston, Gallows Hill","Excavation","Suffolk County Council Archaeological Service","630880","256960","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","","","MSF9694","","",""
"5021","Suffolk","East","Barnham","Excavation","Suffolk County Council Archaeological Service","586600","277700","Rural settlement|Religious ritual and funerary","farm|shrine","","","","","","",""
"5024","Suffolk","East","Icklingham","Excavation","Suffolk County Council Archaeological Service","578715","271646","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","MSF23429","","",""
"1105","Essex","South","Stanway","Excavation","Colchester Archaeological Trust","595500","222600","Religious ritual and funerary","funerary site","","","","","","",""
"1106","Essex","South","Gosbecks, Colchester","Excavation","Colchester Archaeological Trust","596797","222440","Nucleated settlement|Military|Religious ritual and funerary","fort|RC temple|oppidum","bathhouse","","","MEX33795","","",""
"1114","Essex","East","Great Dunmow, Haslers Lane","Excavation","Essex County Council Field Archaeology Unit","562920","221549","Nucleated settlement|Religious ritual and funerary","funerary site|roadside settlement","","","","","","",""
"2001","Cambridgeshire","East","Duxford","Excavation","Oxford Archaeology East","548050","245850","Rural landscape|Religious ritual and funerary","agricultural building|funerary site|shrine","corndrier","","","MCB19930","","",""
"8058","Greater London","South","Deen City Farm Grazing, Mitcham","Evaluation","Museum of London Archaeology Service","526747","169144","Religious ritual and funerary","funerary site","","","","MLO64286","","",""
"8066","Greater London","South","St Martin's Place, Westminster","Excavation","Museum of London Archaeology","530103","180542","Religious ritual and funerary|Industry","funerary site|tile production|quarry","kiln","","","MLO38072","","SMD01","molas1-39506"
"8068","Greater London","South","Goresbrook Fields, Dagenham","Evaluation","Newham Museum Service","548260","183665","Religious ritual and funerary","field system|funerary site","","","","MLO66641","","",""
"9009","Kent","South","Keston, Leafy Grove","Excavation","West Kent Border Archaeological Group","541360","163880","Religious ritual and funerary","funerary site","","","","","","",""
"9014","Kent","South","Ospringe","Excavation","Society of Antiquaries of London","600190","160950","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","","","MKE4141","","",""
"9015","Kent","South","Castle Field, Worth","Excavation","Captain Napier","633590","155430","Religious ritual and funerary","RC temple","","","","MKE15689","","",""
"9020","Kent","South","Springhead, sanctuary complex","Excavation","Oxford Wessex Joint Venture","561800","172750","Nucleated settlement|Religious ritual and funerary","RC temple|shrine|funerary site|roadside settlement|road","corndrier","","","MKE1632","","",""
"9021","Kent","South","Springhead, roadside settlement","Excavation","Oxford Wessex Joint Venture","561650","172750","Nucleated settlement|Religious ritual and funerary|Industry|Communications","agricultural building|funerary site|RC temple|shrine|iron production|roadside settlement|road|mansio","bathhouse|storage|SFB|workshop|kiln|well|corndrier","","","MKE1632","","",""
"9024","Kent","South","Coldswood Road","Excavation","Wessex Archaeology","635585","166828","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","MKE21074","","",""
"9025","Kent","South","Cottington Road","Excavation","Wessex Archaeology","634011","164328","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","MKE21075","","",""
"9027","Kent","South","Dartford, East Hill","Excavation","Canterbury Archaeological Trust; Dartford District Archaeological Group; Wessex Archaeology","554733","173815","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","","","MKE21039","","",""
"9030","Kent","South","Fremlin Walk, Maidstone","Excavation","AOC Archaeology","575900","155900","Religious ritual and funerary","funerary site","","","","MKE39933","","",""
"9038","Kent","South","Dux Field, Plaxtol","Excavation","Kent Archaeological Society","560790","154412","Religious ritual and funerary","funerary site","","","","","","",""
"9042","Kent","South","Walmer","Watching brief","","637715","150803","Religious ritual and funerary","funerary site","","","","","","",""
"3006","Hertfordshire","East","14 Westell Close, Baldock","Watching brief","The Heritage Network Ltd","525420","233850","Religious ritual and funerary","funerary site","","","","MHT10916","","",""
"3013","Hertfordshire","East","Baldock, Wallington Road","Excavation","North Hertfordshire Archaeology Society","525291","233941","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","MHT13189","","",""
"13035","Buckinghamshire","Central Belt","Brooklands, Milton Keynes","Excavation","Oxford Archaeology","489448","240482","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","","","",""
"13036","Buckinghamshire","Central Belt","Broughton Manor Farm","Excavation","Oxford Archaeology East","490058","239475","Rural settlement|Religious ritual and funerary","farm|funerary site|shrine|pottery production","well|corndrier|storage|kiln","","","","","",""
"13038","Buckinghamshire","Central Belt","Wellwick Farm, Wendover","Excavation","Archaeological Services & Consultancy Ltd","485400","207800","Religious ritual and funerary","funerary site","","","","","","",""
"13039","Buckinghamshire","Central Belt","Bourton Grounds temple","Excavation","Buckinghamshire County Museum","472935","233101","Religious ritual and funerary","RC temple","","","","","","",""
"13041","Buckinghamshire","Central Belt","Weston Turville","Excavation","","485800","210400","Religious ritual and funerary","funerary site","","","","","","",""
"13044","Buckinghamshire","Central Belt","A4146 Stoke Hanmmond to Linslade Western Bypass, Area A","Excavation","Network Archaeology Ltd","489446","224484","Rural landscape|Religious ritual and funerary","funerary site|field system","","","","","","",""
"13045","Buckinghamshire","Central Belt","Whiteleaf Hill, Princes Risborough","Excavation","Oxford Archaeology","482171","204095","Religious ritual and funerary","shrine","","","","","","",""
"13046","Buckinghamshire","Central Belt","Gayhurst Quarry, Newport Pagnell","Excavation","Northamptonshire Archaeology","485300","244700","Religious ritual and funerary","funerary site","","","","","","",""
"13047","Buckinghamshire","Central Belt","Princes Risborough Upper School","Excavation","Wessex Archaeology","481200","203000","Religious ritual and funerary","funerary site","","","","","","",""
"13048","Buckinghamshire","Central Belt","Reserve Site 5, Downs Barn, Milton Keynes","Excavation","Hertfordshire Archaeological Trust","486170","240040","Rural settlement|Religious ritual and funerary","farm|shrine","","","","","","",""
"13053","Buckinghamshire","Central Belt","Bledlow-cum-Saunderton","Excavation","Buckinghamshire County Museum Archaeology Unit","479527","199057","Religious ritual and funerary","funerary site","","","","","","",""
"13059","Buckinghamshire","Central Belt","Great Brickhill","Excavation","Buckinghamshire County Museum","490368","230007","Religious ritual and funerary","funerary site","","","","","","",""
"13060","Buckinghamshire","Central Belt","West Wycombe","Watching brief","Buckinghamshire County Museum","483600","194500","Religious ritual and funerary","funerary site","","","","","","",""
"13062","Buckinghamshire","Central Belt","Bourton Grounds","Excavation","Buckinghamshire County Museum","472906","233167","Religious ritual and funerary|Communications","funerary site|road|Isolated building","","","","","","",""
"13068","Buckinghamshire","Central Belt","Thornborough barrows","Excavation","Duke of Buckingham","473151","233254","Religious ritual and funerary","funerary site","","","","","","",""
"13075","Buckinghamshire","Central Belt","Fleet Marston, Aylesbury Vale Parkway","Excavation","Oxford Archaeology","478632","215454","Nucleated settlement|Religious ritual and funerary","roadside settlement|field system|funerary site","","","","","","",""
"13080","Buckinghamshire","Central Belt","Fleet Marston, Billingsfield, Aylesbury","Evaluation","AC Archaeology","479160","215187","Nucleated settlement|Communications|Religious ritual and funerary","roadside settlement|road|funerary site|quarry","","","","","","",""
"13086","Buckinghamshire","Central Belt","Creslow Manor Farm","Excavation","Oxford Archaeology","480900","222294","Religious ritual and funerary","funerary site","","","","","","",""
"13090","Buckinghamshire","Central Belt","Aston Clinton (ACNWM Site A)","Excavation","Northamptonshire Archaeology","487220","213367","Religious ritual and funerary|Rural settlement","funerary site|field system|farm","","","","","","","northamp3-174600"
"14001","Gloucestershire","Central Belt","RAF Fairford","Excavation","Cotswold Archaeology","415000","198200","Rural landscape|Religious ritual and funerary","field system|funerary site","well","","","","","",""
"14006","Gloucestershire","Central Belt","Tockington Park Farm","Excavation","McGill Archaeological Consultants; Avon Archaeological Unit","362716","185663","Rural settlement|Religious ritual and funerary","villa|funerary site|farm","bathhouse","","","","","",""
"14007","Gloucestershire","Central Belt","Westerleigh","Excavation","McGill Archaeological Consultants; Headland Archaeology","368846","179594","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","","","",""
"14009","Gloucestershire","Central Belt","Hailey Wood Camp, Sapperton","Geophysics","","396450","200340","Religious ritual and funerary","shrine","","","","","","",""
"14014","Gloucestershire","Central Belt","West Lane, Kemble","Excavation","Cotswold Archaeology","398770","197200","Religious ritual and funerary","funerary site","","","","","","",""
"10013","Surrey","South","Waynflete Tower Avenue, Esher","Watching brief","Holling","513500","165100","Religious ritual and funerary","funerary site","","","","SHHER_652","","",""
"10027","Surrey","South","Wanborough Roman Temple","Excavation","Surrey Archaeological Society","492031","149575","Religious ritual and funerary","shrine|RC temple","well","","","SHHER_2343","","",""
"10035","Surrey","South","Church Field, Titsey","Excavation","Surrey Archaeological Society","542104","154979","Religious ritual and funerary","RC temple|road","","","","SHHER_2588|SHHER_1348","","",""
"10041","Surrey","South","Hurst Park, East Molesy","Excavation","Wessex Archaeology","514500","168900","Religious ritual and funerary","funerary site","corndrier","","","SHHER_4746","","",""
"10054","Surrey","South","No. 42 London Road, Bagshot","Excavation","Surrey Heath Archaeological and Heritage Trust","491200","163450","Industry|Religious ritual and funerary","other metal production|funerary site","","","","SHHER_4344","","",""
"10061","Surrey","South","Franklands Drive, Addlestone","Evaluation","Wessex Archaeology","504075","163326","Religious ritual and funerary","funerary site","","","","SHHER_13893|SHHER_19073","","",""
"10065","Surrey","South","Beech Road, Haslemere","Excavation","E W Swanton","490700","133600","Religious ritual and funerary","funerary site","","","","SHHER_1554","","",""
"10066","Surrey","South","Stratton Farm, Godstone","Evaluation","Wessex Archaeology","535073","150756","Religious ritual and funerary|Communications","shrine|road","well","","","SHHER_16167","","",""
"11006","West Sussex","South","Westhampnett, Area 2","Excavation","Wessex Archaeology","489568","106693","Religious ritual and funerary","funerary site|shrine","","","","MWS4085","","",""
"11011","West Sussex","South","11-15 Offington Lane, Worthing","Excavation","Archaeology South-East","513274","104732","Religious ritual and funerary","funerary site","","","","MWS8174","","",""
"11012","West Sussex","South","Chanctonbury Ring","Excavation","UCL Field Archaeology Unit","513937","112063","Religious ritual and funerary","RC temple|shrine","","","","MWS5836","","",""
"7033","East Sussex","South","Herstmonceux Castle","Excavation","Sussex Archaeological Society","565154","110447","Religious ritual and funerary","funerary site","","","","","","",""
"7035","East Sussex","South","7-18 The Martlets, South Malling","Excavation","Sussex Archaeological Society","541914","111100","Religious ritual and funerary|Communications","funerary site|road","","","","MES15537","","",""
"8016","Greater London","South","Shadwell, The Highway","Excavation","Museum of London Archaeology Service/English Heritage","534880","180730","Industry|Religious ritual and funerary|Nucleated settlement","funerary site|quarry|shrine|roadside settlement","workshop","","","MLO3815","","",""
"8022","Greater London","South","Manor Farm, North Ockendon","Excavation","Museum of London Archaeology","557770","184490","Religious ritual and funerary|Industry","funerary site|iron production","","","","MLO137","","",""
"8027","Greater London","South","Marks Warren Quarry, Barking and Dagenham","Excavation","Essex Archaeology and History","548841","189635","Religious ritual and funerary","shrine|funerary site","","","","MLO23747","","",""
"8035","Greater London","South","Olympic Park, trench 9","Excavation","Wessex Archaeology","538135","184175","Religious ritual and funerary|Rural landscape","funerary site","","","","MLO102613","","",""
"8036","Greater London","South","Greenwich Park","Excavation","Museum of London Archaeology","539085","177712","Religious ritual and funerary","RC temple","","","","MLO11341","","",""
"8051","Greater London","South","Prospect Park, Harmondsworth","Excavation","Wessex Archaeology","505990","178191","Religious ritual and funerary","funerary site","","","","MLO60274","","",""
"9059","Kent","South","Holborough, Snodland","Excavation","R F Jessup","569820","162690","Religious ritual and funerary","funerary site|shrine","","","","","","",""
"9066","Kent","South","Springhead, Pepper Hill","Excavation","Oxford Wessex Joint Venture","561900","172100","Nucleated settlement|Religious ritual and funerary","funerary site|quarry|roadside settlement","well","","","MWX20898","","",""
"9067","Kent","South","Saltwood Tunnel","Excavation","Oxford Wessex Joint Venture","615345","136940","Rural settlement|Religious ritual and funerary","farm|funerary site","corndrier","","","MKE55486","","",""
"9071","Kent","South","Thorne, Monkton","Evaluation","Kent Archaeological Rescue Unit","633443","165376","Religious ritual and funerary","funerary site","","","","MKE7965","","",""
"9084","Kent","South","Mill Hill, Deal","Excavation","Dover Archaeological Group","636310","150740","Religious ritual and funerary","funerary site|shrine","","","","MKE17744","","",""
"9087","Kent","South","Bobbing","Watching brief","South Eastern Archaeological Services","588900","165000","Religious ritual and funerary","funerary site","","","","","","",""
"9089","Kent","South","Swarling","Excavation","Society of Antiquaries of London","612770","152610","Religious ritual and funerary","funerary site","","","","","","",""
"9091","Kent","South","Swan Valley Community School","Excavation","Museum of London Archaeology Service/Canterbury Archaeological Trust","560868","173914","Religious ritual and funerary|Rural settlement","shrine|farm|road","corndrier","","","MKE20146","","",""
"9099","Kent","South","Eddington, Herne Bay","Excavation","Canterbury Archaeological Trust","616977","166974","Rural settlement|Religious ritual and funerary","farm|shrine","","","","MKE20610","","",""
"9106","Kent","South","Richborough temples","Excavation","","632240","159800","Religious ritual and funerary","RC temple","","","","MKE7173","","",""
"9110","Kent","South","Woodchurch Road, Margate","Evaluation","Swale and Thames Archaeological Survey Company","632878","167472","Religious ritual and funerary","funerary site","","","","MKE21081","","",""
"9116","Kent","South","Neatscourt, Isle of Sheppey","Excavation","Swale and Thames Archaeological Survey Company","591779","171652","Religious ritual and funerary","funerary site","","","","","","",""
"9123","Kent","South","Aylesford","Excavation","","573187","159338","Religious ritual and funerary","funerary site","","","","MKE2099","","",""
"9126","Kent","South","Boxted, Upchurch","Excavation","Sittingbourne and Swale Archaeological Research Group","585140","166180","Religious ritual and funerary","RC temple","","","","","","",""
"9128","Kent","South","Salt Hill Saltings, Upchurch","Excavation","","586030","170470","Religious ritual and funerary","shrine","","","","","","",""
"9132","Kent","South","A2 Activity Park, Gravesend","Excavation","Archaeology South-East","563534","171502","Religious ritual and funerary","funerary site","","","","MKE40133","","APG09","archaeol6-83549"
"9139","Kent","South","Star Hill, Bridge","Excavation","Kent Archaeological Field School","618568","153583","Religious ritual and funerary","shrine","","","","","","",""
"9147","Kent","South","Mill Lane, Herne Bay","Excavation","Archaeology South-East","618942","167233","Religious ritual and funerary","funerary site","","","","MKE5463","","TLHB 07 EX|MLHB 07 EX","archaeol6-36077"
"9155","Kent","South","East Kent Access (Zone 19)","Excavation","Oxford Wessex Joint Venture","633314","165436","Religious ritual and funerary","funerary site|shrine","","","","MKE7965","","",""
"9158","Kent","South","Spratling Court Farm, Manston","Evaluation","Trust for Thanet Archaeology","635072","165655","Religious ritual and funerary","shrine|quarry","","","","MKE9022","","",""
"9162","Kent","South","Springhead, Millbrook Garden Centre","Excavation","Kent Archaeological Rescue Unit","561886","172284","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site|road","corndrier","","","MKE15143","","",""
"9164","Kent","South","Rosecourt Farm, Grain","Excavation","Kent Archaeological Rescue Unit","588160","176997","Religious ritual and funerary","funerary site","","","","","","",""
"9165","Kent","South","Brisley Farm, Ashford","Excavation","Archaeology South-East","599176","140321","Rural settlement|Religious ritual and funerary","farm|shrine","","","","MKE43248|MKE43246|MKE43247","","",""
"9166","Kent","South","Chilham Castle burial, near Canterbury","Field survey","Anon","605960","152450","Religious ritual and funerary","funerary site","","","","","","",""
"9169","Kent","South","Stone Court Pit","Excavation","M A Cotton and K M Richardson","556321","174705","Religious ritual and funerary","funerary site","","","","","","",""
"9170","Kent","South","Springhead, walled cemetery","Excavation","Oxford-Wessex Archaeology","562150","172240","Religious ritual and funerary|Nucleated settlement","roadside settlement|funerary site","","","","MKE1632","","",""
"10002","Surrey","South","White Beech, Chiddingfold","Fieldwalking","Surrey Archaeological Society","497864","136095","Rural settlement|Religious ritual and funerary","villa|farm","","","","SHHER_1534","","",""
"10004","Surrey","South","Ewell, Reigate Road","","Cotton","522800","160800","Religious ritual and funerary","shrine","","","","SHHER_1101","","",""
"10005","Surrey","South","Farley Heath","Excavation","Surrey County Archaeological Unit","505086","144925","Religious ritual and funerary","RC temple|pottery production","kiln","","","SHHER_438","","",""
